Image,Mu,Sigma,Score,Score_10
104109007141.jpg,44.68399594280712,3.1822488556631794,5.0,10.0
104108914376.jpg,44.37624510250485,3.0609780975883405,4.98995983935743,9.922952637560252
104108925730.jpg,44.33121109401457,3.1103285255734407,4.979919678714859,9.911678089712202
104108850287.jpg,44.22131530227462,3.0795217406166535,4.969879518072289,9.884164985642444
104108612795.jpg,43.899490748759206,2.9604038695524006,4.959839357429719,9.803594180401562
104108812608.jpg,43.721103132062936,3.045363828639986,4.949799196787149,9.758933716290851
104108984672.jpg,43.168859440163644,3.1053816870823514,4.9397590361445785,9.620676027561105
104108746166.jpg,42.38349700095027,3.2459412216474397,4.929718875502008,9.42405559123279
104108718686.jpg,42.25362102640819,3.318839920280548,4.919678714859438,9.39154032247534
104109072715.jpg,42.043775956453096,3.2895624866344155,4.909638554216867,9.339004286683709
104108739992.jpg,42.03146062622747,3.490077170604289,4.899598393574297,9.33592106614554
104108701046.jpg,42.01822203972455,3.00831105706598,4.889558232931727,9.332606702579614
104108538409.jpg,41.949488409574755,2.963964546025411,4.879518072289157,9.31539880508452
104108753924.jpg,41.94347410652976,3.4140593070128213,4.8694779116465865,9.313893086412639
104108933772.jpg,41.89480969601776,3.5745833667400615,4.859437751004016,9.301709644538192
104108953674.jpg,41.75327424891436,3.4754252449525094,4.849397590361446,9.26627535334231
104108607496.jpg,41.74516716279178,3.11278669098783,4.839357429718875,9.264245693237392
104108601667.jpg,41.72953667651045,3.3885153014869274,4.829317269076305,9.260332502487225
104108734198.jpg,41.70054646909994,3.102221141291633,4.819277108433735,9.25307462135401
104108926443.jpg,41.666597227342706,3.239376263432004,4.809236947791165,9.244575214718255
104108910520.jpg,41.59203574161561,3.389024410843495,4.7991967871485945,9.225908276849882
104108426589.jpg,41.57286068195452,3.308745206315177,4.789156626506024,9.22110767981476
104108988788.jpg,41.470054495227686,3.4296439576460966,4.779116465863454,9.195369503041592
104108682136.jpg,41.46188132887964,3.4043283224370606,4.769076305220883,9.193323299335765
104108836631.jpg,41.09930013601568,3.537331801655622,4.759036144578313,9.10254881256917
104108987545.jpg,41.03032583895062,3.4306046447813334,4.748995983935743,9.085280662595057
104108931542.jpg,41.0267441960247,3.582864319425585,4.738955823293173,9.084383975715596
104108622246.jpg,40.90748447102995,3.391816394295398,4.728915662650603,9.054526551940212
104108378455.jpg,40.88317541409322,3.152324141228682,4.718875502008032,9.048440626330608
104109070181.jpg,40.6140638690975,4.0856225015539005,4.708835341365462,8.981066854991296
104107785618.jpg,40.5502824616446,2.5729790221897786,4.698795180722891,8.965098777659277
104108576174.jpg,40.527966202434975,3.1215275910042966,4.688755020080321,8.95951176152007
104108812334.jpg,40.32369627147029,2.7913676910904606,4.678714859437751,8.908371496911464
104108410829.jpg,40.31493833524517,2.8975258695449053,4.668674698795181,8.906178892381453
104108794974.jpg,40.22843990417801,3.408321102213366,4.658634538152611,8.884523465015748
104108251388.jpg,40.147455977868326,3.1805017710879673,4.64859437751004,8.864248628670712
104108739176.jpg,40.11815278303784,3.31685282490018,4.63855421686747,8.85691238916433
104108985360.jpg,40.10460065713764,3.6377279640453364,4.628514056224899,8.853519529034246
104108648056.jpg,40.07666559783506,3.5765065326635876,4.618473895582329,8.846525810879822
104108509884.jpg,40.07022553385624,3.7487195685129207,4.608433734939759,8.844913500274838
104108931149.jpg,40.03471278622679,2.72657713126023,4.598393574297189,8.83602266009013
104108670376.jpg,40.01618255782126,4.2523219695986,4.588353413654619,8.831383500623822
104108982061.jpg,39.98343686554916,3.507249672658051,4.578313253012048,8.823185410186925
104108769212.jpg,39.968313868288504,3.6954916340737944,4.568273092369478,8.819399272511484
104109005505.jpg,39.761711509821595,2.9955235338583655,4.5582329317269075,8.767675069977798
104108302429.jpg,39.7061417098793,3.623077934014788,4.548192771084337,8.753762820338924
104108703120.jpg,39.64719588001293,2.4603961962478715,4.538152610441767,8.739005360331454
104108815872.jpg,39.63244551449788,3.7456360979408996,4.528112449799197,8.735312513362002
104108149725.jpg,39.52646279057788,3.7566121424827474,4.518072289156627,8.708779070482704
104108858221.jpg,39.325772516747584,3.4557156214816924,4.508032128514056,8.658534995598139
104107144403.jpg,39.248979291860344,3.209646939403194,4.497991967871486,8.639309327765703
104108947440.jpg,39.12961841539276,3.8349924048962136,4.4879518072289155,8.6094265800816
104109057340.jpg,39.04415540813313,2.786057369397287,4.477911646586345,8.588030377591764
104108849407.jpg,39.02101741445689,3.5696511154183965,4.467871485943775,8.582237635049939
104108935073.jpg,39.010131426147474,4.014036909097892,4.457831325301205,8.579512259268782
104109014683.jpg,38.95435100863831,3.6629138131216767,4.447791164658635,8.565547280194645
104109011054.jpg,38.848697789606646,3.6151253594997574,4.437751004016064,8.539096330940817
