dim,fold,split,ID
extensive,1,train,104104481434
extensive,1,train,104105683403
extensive,1,train,104105980871
extensive,1,train,104106057649
extensive,1,train,104106690875
extensive,1,train,104106709500
extensive,1,train,104106729605
extensive,1,train,104106734438
extensive,1,train,104106750365
extensive,1,train,104106756808
extensive,1,train,104106769963
extensive,1,train,104106802049
extensive,1,train,104106820573
extensive,1,train,104106837135
extensive,1,train,104106852409
extensive,1,train,104106945388
extensive,1,train,104107057634
extensive,1,train,104107086323
extensive,1,train,104107090377
extensive,1,train,104107096406
extensive,1,train,104107110887
extensive,1,train,104107112373
extensive,1,train,104107144403
extensive,1,train,104107156101
extensive,1,train,104107181532
extensive,1,train,104107184967
extensive,1,train,104107185014
extensive,1,train,104107196040
extensive,1,train,104107238512
extensive,1,train,104107239815
extensive,1,train,104107252612
extensive,1,train,104107277214
extensive,1,train,104107305834
extensive,1,train,104107340288
extensive,1,train,104107403238
extensive,1,train,104107408279
extensive,1,train,104107427714
extensive,1,train,104107445277
extensive,1,train,104107455173
extensive,1,train,104107503214
extensive,1,train,104107512304
extensive,1,train,104107524436
extensive,1,train,104107540001
extensive,1,train,104107550926
extensive,1,train,104107563575
extensive,1,train,104107671918
extensive,1,train,104107707060
extensive,1,train,104107785618
extensive,1,train,104107795179
extensive,1,train,104107796270
extensive,1,train,104107819138
extensive,1,train,104107836185
extensive,1,train,104107858772
extensive,1,train,104107890258
extensive,1,train,104107931630
extensive,1,train,104107973752
extensive,1,train,104107985531
extensive,1,train,104108004071
extensive,1,train,104108004256
extensive,1,train,104108006544
extensive,1,train,104108024282
extensive,1,train,104108041370
extensive,1,train,104108048695
extensive,1,train,104108086956
extensive,1,train,104108097533
extensive,1,train,104108125521
extensive,1,train,104108142104
extensive,1,train,104108225562
extensive,1,train,104108251388
extensive,1,train,104108253740
extensive,1,train,104108257061
extensive,1,train,104108259525
extensive,1,train,104108281868
extensive,1,train,104108285616
extensive,1,train,104108295496
extensive,1,train,104108296291
extensive,1,train,104108298920
extensive,1,train,104108302429
extensive,1,train,104108317853
extensive,1,train,104108331521
extensive,1,train,104108337629
extensive,1,train,104108350295
extensive,1,train,104108364492
extensive,1,train,104108373886
extensive,1,train,104108374459
extensive,1,train,104108379716
extensive,1,train,104108383685
extensive,1,train,104108385467
extensive,1,train,104108391504
extensive,1,train,104108402765
extensive,1,train,104108403161
extensive,1,train,104108404615
extensive,1,train,104108423834
extensive,1,train,104108424195
extensive,1,train,104108424232
extensive,1,train,104108439840
extensive,1,train,104108443832
extensive,1,train,104108455088
extensive,1,train,104108457626
extensive,1,train,104108458011
extensive,1,train,104108460439
extensive,1,train,104108465606
extensive,1,train,104108471272
extensive,1,train,104108479327
extensive,1,train,104108482233
extensive,1,train,104108482433
extensive,1,train,104108486750
extensive,1,train,104108509599
extensive,1,train,104108509884
extensive,1,train,104108522829
extensive,1,train,104108531872
extensive,1,train,104108538409
extensive,1,train,104108542880
extensive,1,train,104108543776
extensive,1,train,104108544266
extensive,1,train,104108544828
extensive,1,train,104108551485
extensive,1,train,104108553448
extensive,1,train,104108558415
extensive,1,train,104108558803
extensive,1,train,104108568354
extensive,1,train,104108584673
extensive,1,train,104108597661
extensive,1,train,104108601239
extensive,1,train,104108601667
extensive,1,train,104108602176
extensive,1,train,104108602675
extensive,1,train,104108603773
extensive,1,train,104108607496
extensive,1,train,104108611766
extensive,1,train,104108612795
extensive,1,train,104108613968
extensive,1,train,104108622201
extensive,1,train,104108622246
extensive,1,train,104108622359
extensive,1,train,104108623685
extensive,1,train,104108626167
extensive,1,train,104108630312
extensive,1,train,104108630890
extensive,1,train,104108640643
extensive,1,train,104108647249
extensive,1,train,104108648056
extensive,1,train,104108649028
extensive,1,train,104108652136
extensive,1,train,104108653387
extensive,1,train,104108655852
extensive,1,train,104108658172
extensive,1,train,104108662703
extensive,1,train,104108667134
extensive,1,train,104108670376
extensive,1,train,104108678419
extensive,1,train,104108682136
extensive,1,train,104108683768
extensive,1,train,104108688960
extensive,1,train,104108695903
extensive,1,train,104108701046
extensive,1,train,104108703120
extensive,1,train,104108707005
extensive,1,train,104108707416
extensive,1,train,104108707624
extensive,1,train,104108707962
extensive,1,train,104108709585
extensive,1,train,104108718686
extensive,1,train,104108725465
extensive,1,train,104108729464
extensive,1,train,104108729738
extensive,1,train,104108734198
extensive,1,train,104108739992
extensive,1,train,104108745014
extensive,1,train,104108753924
extensive,1,train,104108754062
extensive,1,train,104108764295
extensive,1,train,104108772466
extensive,1,train,104108774096
extensive,1,train,104108780545
extensive,1,train,104108781507
extensive,1,train,104108783257
