dim,fold,split,ID
monotonous,1,train,104104481434
monotonous,1,train,104105588631
monotonous,1,train,104105683403
monotonous,1,train,104105980871
monotonous,1,train,104106057649
monotonous,1,train,104106690875
monotonous,1,train,104106715634
monotonous,1,train,104106729605
monotonous,1,train,104106734438
monotonous,1,train,104106746366
monotonous,1,train,104106769963
monotonous,1,train,104106802049
monotonous,1,train,104106820573
monotonous,1,train,104106852409
monotonous,1,train,104106881654
monotonous,1,train,104106894431
monotonous,1,train,104106931220
monotonous,1,train,104106936543
monotonous,1,train,104106945388
monotonous,1,train,104107001320
monotonous,1,train,104107057634
monotonous,1,train,104107090377
monotonous,1,train,104107110887
monotonous,1,train,104107112373
monotonous,1,train,104107144403
monotonous,1,train,104107181532
monotonous,1,train,104107185014
monotonous,1,train,104107196040
monotonous,1,train,104107238512
monotonous,1,train,104107250587
monotonous,1,train,104107252612
monotonous,1,train,104107258151
monotonous,1,train,104107277214
monotonous,1,train,104107305834
monotonous,1,train,104107340288
monotonous,1,train,104107350098
monotonous,1,train,104107403238
monotonous,1,train,104107408279
monotonous,1,train,104107427714
monotonous,1,train,104107445277
monotonous,1,train,104107512304
monotonous,1,train,104107525811
monotonous,1,train,104107526523
monotonous,1,train,104107540001
monotonous,1,train,104107552461
monotonous,1,train,104107560265
monotonous,1,train,104107566104
monotonous,1,train,104107785618
monotonous,1,train,104107795179
monotonous,1,train,104107850200
monotonous,1,train,104107858772
monotonous,1,train,104107890258
monotonous,1,train,104107931630
monotonous,1,train,104107985531
monotonous,1,train,104108037471
monotonous,1,train,104108041370
monotonous,1,train,104108045572
monotonous,1,train,104108097533
monotonous,1,train,104108105366
monotonous,1,train,104108125521
monotonous,1,train,104108140332
monotonous,1,train,104108142104
monotonous,1,train,104108225562
monotonous,1,train,104108251388
monotonous,1,train,104108253740
monotonous,1,train,104108257061
monotonous,1,train,104108272389
monotonous,1,train,104108281868
monotonous,1,train,104108295662
monotonous,1,train,104108298920
monotonous,1,train,104108299949
monotonous,1,train,104108302429
monotonous,1,train,104108307753
monotonous,1,train,104108313767
monotonous,1,train,104108317853
monotonous,1,train,104108323626
monotonous,1,train,104108329417
monotonous,1,train,104108334861
monotonous,1,train,104108342587
monotonous,1,train,104108350295
monotonous,1,train,104108373886
monotonous,1,train,104108374459
monotonous,1,train,104108375027
monotonous,1,train,104108378455
monotonous,1,train,104108379716
monotonous,1,train,104108383685
monotonous,1,train,104108385467
monotonous,1,train,104108391504
monotonous,1,train,104108402765
monotonous,1,train,104108410829
monotonous,1,train,104108424749
monotonous,1,train,104108438364
monotonous,1,train,104108439840
monotonous,1,train,104108443832
monotonous,1,train,104108444505
monotonous,1,train,104108455088
monotonous,1,train,104108457626
monotonous,1,train,104108458011
monotonous,1,train,104108460439
monotonous,1,train,104108462484
monotonous,1,train,104108471272
monotonous,1,train,104108475014
monotonous,1,train,104108479327
monotonous,1,train,104108482233
monotonous,1,train,104108482433
monotonous,1,train,104108486750
monotonous,1,train,104108508211
monotonous,1,train,104108516063
monotonous,1,train,104108522829
monotonous,1,train,104108525589
monotonous,1,train,104108531872
monotonous,1,train,104108537471
monotonous,1,train,104108538306
monotonous,1,train,104108544828
monotonous,1,train,104108551485
monotonous,1,train,104108556974
monotonous,1,train,104108558415
monotonous,1,train,104108558803
monotonous,1,train,104108560046
monotonous,1,train,104108566263
monotonous,1,train,104108568354
monotonous,1,train,104108574933
monotonous,1,train,104108576174
monotonous,1,train,104108592506
monotonous,1,train,104108595272
monotonous,1,train,104108598402
monotonous,1,train,104108601667
monotonous,1,train,104108602675
monotonous,1,train,104108603773
monotonous,1,train,104108609843
monotonous,1,train,104108612795
monotonous,1,train,104108620360
monotonous,1,train,104108622201
monotonous,1,train,104108622319
monotonous,1,train,104108622359
monotonous,1,train,104108630312
monotonous,1,train,104108630890
monotonous,1,train,104108630923
monotonous,1,train,104108640643
monotonous,1,train,104108642604
monotonous,1,train,104108646106
monotonous,1,train,104108649028
monotonous,1,train,104108652136
monotonous,1,train,104108655852
monotonous,1,train,104108658172
monotonous,1,train,104108662703
monotonous,1,train,104108667134
monotonous,1,train,104108678419
monotonous,1,train,104108678513
monotonous,1,train,104108682136
monotonous,1,train,104108683768
monotonous,1,train,104108695903
monotonous,1,train,104108701046
monotonous,1,train,104108707005
monotonous,1,train,104108707416
monotonous,1,train,104108707962
monotonous,1,train,104108709585
monotonous,1,train,104108711163
monotonous,1,train,104108726540
monotonous,1,train,104108729176
monotonous,1,train,104108729464
monotonous,1,train,104108730392
monotonous,1,train,104108732600
monotonous,1,train,104108734198
monotonous,1,train,104108739176
monotonous,1,train,104108739992
monotonous,1,train,104108740569
monotonous,1,train,104108743726
monotonous,1,train,104108745648
monotonous,1,train,104108745885
monotonous,1,train,104108745962
monotonous,1,train,104108752262
monotonous,1,train,104108754062
monotonous,1,train,104108757423
monotonous,1,train,104108757604
monotonous,1,train,104108758944
monotonous,1,train,104108760626
monotonous,1,train,104108764295
monotonous,1,train,104108769212
monotonous,1,train,104108773563
monotonous,1,train,104108774096
monotonous,1,train,104108775417
monotonous,1,train,104108777350
monotonous,1,train,104108781507
monotonous,1,train,104108783257
monotonous,1,train,104108788928
monotonous,1,train,104108789981
monotonous,1,train,104108790088
monotonous,1,train,104108791651
monotonous,1,train,104108794974
monotonous,1,train,104108800692
monotonous,1,train,104108804256
monotonous,1,train,104108810212
monotonous,1,train,104108812334
monotonous,1,train,104108812608
monotonous,1,train,104108814105
monotonous,1,train,104108815872
monotonous,1,train,104108820409
monotonous,1,train,104108820453
monotonous,1,train,104108822531
monotonous,1,train,104108826085
monotonous,1,train,104108829152
monotonous,1,train,104108838791
monotonous,1,train,104108839146
monotonous,1,train,104108839865
monotonous,1,train,104108845850
monotonous,1,train,104108849407
monotonous,1,train,104108853728
monotonous,1,train,104108854371
monotonous,1,train,104108856552
monotonous,1,train,104108857740
monotonous,1,train,104108858221
monotonous,1,train,104108859766
monotonous,1,train,104108866643
monotonous,1,train,104108866981
monotonous,1,train,104108869071
monotonous,1,train,104108870597
monotonous,1,train,104108876134
monotonous,1,train,104108877288
