dim,fold,split,ID
oppressive,1,train,104104481434
oppressive,1,train,104105588631
oppressive,1,train,104105683403
oppressive,1,train,104105980871
oppressive,1,train,104106057649
oppressive,1,train,104106690875
oppressive,1,train,104106715634
oppressive,1,train,104106715943
oppressive,1,train,104106729605
oppressive,1,train,104106734438
oppressive,1,train,104106750365
oppressive,1,train,104106756808
oppressive,1,train,104106813033
oppressive,1,train,104106820573
oppressive,1,train,104106837135
oppressive,1,train,104106881654
oppressive,1,train,104106894431
oppressive,1,train,104106945388
oppressive,1,train,104107001320
oppressive,1,train,104107083244
oppressive,1,train,104107086323
oppressive,1,train,104107090377
oppressive,1,train,104107110878
oppressive,1,train,104107110887
oppressive,1,train,104107156101
oppressive,1,train,104107196040
oppressive,1,train,104107239815
oppressive,1,train,104107250587
oppressive,1,train,104107258151
oppressive,1,train,104107277214
oppressive,1,train,104107286515
oppressive,1,train,104107289175
oppressive,1,train,104107350098
oppressive,1,train,104107403238
oppressive,1,train,104107427714
oppressive,1,train,104107445277
oppressive,1,train,104107503214
oppressive,1,train,104107512304
oppressive,1,train,104107524436
oppressive,1,train,104107526523
oppressive,1,train,104107550926
oppressive,1,train,104107552461
oppressive,1,train,104107560265
oppressive,1,train,104107563575
oppressive,1,train,104107566104
oppressive,1,train,104107707060
oppressive,1,train,104107722079
oppressive,1,train,104107785618
oppressive,1,train,104107795179
oppressive,1,train,104107819138
oppressive,1,train,104107836185
oppressive,1,train,104107844041
oppressive,1,train,104107850200
oppressive,1,train,104107890258
oppressive,1,train,104107931630
oppressive,1,train,104107973752
oppressive,1,train,104108006544
oppressive,1,train,104108024282
oppressive,1,train,104108041370
oppressive,1,train,104108086956
oppressive,1,train,104108097533
oppressive,1,train,104108105366
oppressive,1,train,104108136936
oppressive,1,train,104108140332
oppressive,1,train,104108142104
oppressive,1,train,104108163803
oppressive,1,train,104108219831
oppressive,1,train,104108251388
oppressive,1,train,104108281868
oppressive,1,train,104108282347
oppressive,1,train,104108285616
oppressive,1,train,104108295496
oppressive,1,train,104108295662
oppressive,1,train,104108296291
oppressive,1,train,104108298920
oppressive,1,train,104108307753
oppressive,1,train,104108317853
oppressive,1,train,104108323626
oppressive,1,train,104108331324
oppressive,1,train,104108331521
oppressive,1,train,104108334861
oppressive,1,train,104108337629
oppressive,1,train,104108350295
oppressive,1,train,104108378455
oppressive,1,train,104108385467
oppressive,1,train,104108403161
oppressive,1,train,104108424195
oppressive,1,train,104108424749
oppressive,1,train,104108432307
oppressive,1,train,104108438364
oppressive,1,train,104108439840
oppressive,1,train,104108444505
oppressive,1,train,104108447874
oppressive,1,train,104108455088
oppressive,1,train,104108457626
oppressive,1,train,104108458011
oppressive,1,train,104108465606
oppressive,1,train,104108471272
oppressive,1,train,104108475014
oppressive,1,train,104108479327
oppressive,1,train,104108482233
oppressive,1,train,104108482433
oppressive,1,train,104108486184
oppressive,1,train,104108486750
oppressive,1,train,104108508211
