dim,fold,split,ID
vivid,1,train,104104481434
vivid,1,train,104105588631
vivid,1,train,104105980871
vivid,1,train,104106057649
vivid,1,train,104106690875
vivid,1,train,104106715634
vivid,1,train,104106729605
vivid,1,train,104106750365
vivid,1,train,104106756808
vivid,1,train,104106769963
vivid,1,train,104106802049
vivid,1,train,104106820573
vivid,1,train,104106837135
vivid,1,train,104106852409
vivid,1,train,104106881654
vivid,1,train,104106936543
vivid,1,train,104107001320
vivid,1,train,104107057634
vivid,1,train,104107083244
vivid,1,train,104107090377
vivid,1,train,104107096406
vivid,1,train,104107110878
vivid,1,train,104107110887
vivid,1,train,104107112373
vivid,1,train,104107134966
vivid,1,train,104107144403
vivid,1,train,104107184967
vivid,1,train,104107185014
vivid,1,train,104107196040
vivid,1,train,104107238512
vivid,1,train,104107252612
vivid,1,train,104107289175
vivid,1,train,104107340288
vivid,1,train,104107350098
vivid,1,train,104107403238
vivid,1,train,104107408279
vivid,1,train,104107427714
vivid,1,train,104107455173
vivid,1,train,104107479776
vivid,1,train,104107503214
vivid,1,train,104107524436
vivid,1,train,104107526523
vivid,1,train,104107540001
vivid,1,train,104107552461
vivid,1,train,104107560265
vivid,1,train,104107563575
vivid,1,train,104107566104
vivid,1,train,104107573578
vivid,1,train,104107707060
vivid,1,train,104107777564
vivid,1,train,104107785618
vivid,1,train,104107795179
vivid,1,train,104107836185
vivid,1,train,104107850200
vivid,1,train,104107858772
vivid,1,train,104107890258
vivid,1,train,104107931630
vivid,1,train,104107973752
vivid,1,train,104107985531
vivid,1,train,104108004071
vivid,1,train,104108004256
vivid,1,train,104108024282
vivid,1,train,104108041370
vivid,1,train,104108045572
vivid,1,train,104108048695
vivid,1,train,104108086956
vivid,1,train,104108097531
vivid,1,train,104108105366
vivid,1,train,104108114295
vivid,1,train,104108142104
vivid,1,train,104108219831
vivid,1,train,104108251388
vivid,1,train,104108298920
vivid,1,train,104108299949
vivid,1,train,104108317853
vivid,1,train,104108323626
vivid,1,train,104108329417
vivid,1,train,104108334861
vivid,1,train,104108341967
vivid,1,train,104108350295
vivid,1,train,104108364492
vivid,1,train,104108374459
vivid,1,train,104108379716
vivid,1,train,104108391504
vivid,1,train,104108402765
vivid,1,train,104108423834
vivid,1,train,104108424232
vivid,1,train,104108424749
vivid,1,train,104108426319
vivid,1,train,104108426589
vivid,1,train,104108438364
vivid,1,train,104108447874
vivid,1,train,104108455088
vivid,1,train,104108455579
vivid,1,train,104108458011
vivid,1,train,104108462484
vivid,1,train,104108465606
vivid,1,train,104108471272
vivid,1,train,104108475014
vivid,1,train,104108479327
vivid,1,train,104108482233
vivid,1,train,104108482433
vivid,1,train,104108486184
vivid,1,train,104108486750
vivid,1,train,104108508211
vivid,1,train,104108509599
vivid,1,train,104108509884
vivid,1,train,104108522829
vivid,1,train,104108525589
vivid,1,train,104108531872
vivid,1,train,104108537471
vivid,1,train,104108543776
vivid,1,train,104108544266
vivid,1,train,104108552929
vivid,1,train,104108555767
vivid,1,train,104108556974
vivid,1,train,104108558803
vivid,1,train,104108560046
vivid,1,train,104108561221
vivid,1,train,104108568354
vivid,1,train,104108583735
vivid,1,train,104108584673
vivid,1,train,104108587526
vivid,1,train,104108592506
vivid,1,train,104108593196
vivid,1,train,104108597661
vivid,1,train,104108598402
vivid,1,train,104108601239
vivid,1,train,104108601667
vivid,1,train,104108603773
vivid,1,train,104108603862
vivid,1,train,104108606686
vivid,1,train,104108609843
vivid,1,train,104108610169
vivid,1,train,104108613968
vivid,1,train,104108622319
vivid,1,train,104108622359
vivid,1,train,104108626167
vivid,1,train,104108630312
vivid,1,train,104108630890
vivid,1,train,104108642604
vivid,1,train,104108646106
vivid,1,train,104108649028
vivid,1,train,104108652136
vivid,1,train,104108653387
vivid,1,train,104108655852
vivid,1,train,104108662703
vivid,1,train,104108667134
vivid,1,train,104108683768
vivid,1,train,104108688960
vivid,1,train,104108689696
vivid,1,train,104108690599
vivid,1,train,104108695903
vivid,1,train,104108701046
vivid,1,train,104108703120
vivid,1,train,104108707005
vivid,1,train,104108707624
vivid,1,train,104108707962
vivid,1,train,104108709585
vivid,1,train,104108711163
vivid,1,train,104108718686
vivid,1,train,104108725465
vivid,1,train,104108726540
vivid,1,train,104108732600
vivid,1,train,104108739176
vivid,1,train,104108739992
vivid,1,train,104108745648
vivid,1,train,104108745962
vivid,1,train,104108746964
vivid,1,train,104108752262
vivid,1,train,104108753924
vivid,1,train,104108754062
vivid,1,train,104108757604
vivid,1,train,104108758944
vivid,1,train,104108760626
vivid,1,train,104108764295
vivid,1,train,104108769212
vivid,1,train,104108772466
vivid,1,train,104108773563
vivid,1,train,104108774096
vivid,1,train,104108775417
vivid,1,train,104108777350
vivid,1,train,104108788617
vivid,1,train,104108789981
vivid,1,train,104108793880
vivid,1,train,104108798362
vivid,1,train,104108799848
vivid,1,train,104108800692
vivid,1,train,104108804256
vivid,1,train,104108810212
vivid,1,train,104108812334
