dim,fold,split,ID
quiet,1,train,104104481434
quiet,1,train,104105588631
quiet,1,train,104105980871
quiet,1,train,104106057649
quiet,1,train,104106709500
quiet,1,train,104106715634
quiet,1,train,104106715943
quiet,1,train,104106746366
quiet,1,train,104106756808
quiet,1,train,104106769963
quiet,1,train,104106837135
quiet,1,train,104106852409
quiet,1,train,104106881654
quiet,1,train,104106894431
quiet,1,train,104106931220
quiet,1,train,104106936543
quiet,1,train,104107001320
quiet,1,train,104107090377
quiet,1,train,104107096406
quiet,1,train,104107110878
quiet,1,train,104107110887
quiet,1,train,104107112373
quiet,1,train,104107181532
quiet,1,train,104107184967
quiet,1,train,104107185014
quiet,1,train,104107238512
quiet,1,train,104107252612
quiet,1,train,104107289175
quiet,1,train,104107305834
quiet,1,train,104107340288
quiet,1,train,104107403238
quiet,1,train,104107408279
quiet,1,train,104107445277
quiet,1,train,104107455173
quiet,1,train,104107526523
quiet,1,train,104107560265
quiet,1,train,104107671918
quiet,1,train,104107707060
quiet,1,train,104107795179
quiet,1,train,104107796270
quiet,1,train,104107836185
quiet,1,train,104107844041
quiet,1,train,104107850200
quiet,1,train,104107890258
quiet,1,train,104107985531
quiet,1,train,104108004071
quiet,1,train,104108006544
quiet,1,train,104108024282
quiet,1,train,104108045572
quiet,1,train,104108050876
quiet,1,train,104108079090
quiet,1,train,104108097531
quiet,1,train,104108097533
quiet,1,train,104108105366
quiet,1,train,104108125521
quiet,1,train,104108136936
quiet,1,train,104108140332
quiet,1,train,104108163803
quiet,1,train,104108198082
quiet,1,train,104108225562
quiet,1,train,104108231125
quiet,1,train,104108253740
quiet,1,train,104108257061
quiet,1,train,104108259525
quiet,1,train,104108281868
quiet,1,train,104108298920
quiet,1,train,104108302429
quiet,1,train,104108313767
quiet,1,train,104108323626
quiet,1,train,104108331324
quiet,1,train,104108331521
quiet,1,train,104108334861
quiet,1,train,104108337629
quiet,1,train,104108342587
quiet,1,train,104108364492
quiet,1,train,104108373886
quiet,1,train,104108374459
quiet,1,train,104108378455
quiet,1,train,104108379716
quiet,1,train,104108385467
quiet,1,train,104108402765
quiet,1,train,104108403161
quiet,1,train,104108423834
quiet,1,train,104108424195
quiet,1,train,104108424232
quiet,1,train,104108424749
quiet,1,train,104108426589
quiet,1,train,104108432307
quiet,1,train,104108438364
quiet,1,train,104108439840
quiet,1,train,104108442047
quiet,1,train,104108443832
quiet,1,train,104108444505
quiet,1,train,104108447874
quiet,1,train,104108455088
quiet,1,train,104108455579
quiet,1,train,104108457626
quiet,1,train,104108458011
quiet,1,train,104108465606
quiet,1,train,104108467765
quiet,1,train,104108471272
quiet,1,train,104108475014
quiet,1,train,104108479327
quiet,1,train,104108486184
quiet,1,train,104108486750
quiet,1,train,104108504580
quiet,1,train,104108509599
quiet,1,train,104108525589
quiet,1,train,104108537471
quiet,1,train,104108543776
quiet,1,train,104108544266
quiet,1,train,104108551485
quiet,1,train,104108552929
quiet,1,train,104108553448
quiet,1,train,104108555767
quiet,1,train,104108558415
quiet,1,train,104108558803
quiet,1,train,104108560046
quiet,1,train,104108561221
quiet,1,train,104108568354
quiet,1,train,104108576174
quiet,1,train,104108583839
quiet,1,train,104108587526
quiet,1,train,104108592506
quiet,1,train,104108593196
quiet,1,train,104108595636
quiet,1,train,104108597661
quiet,1,train,104108598402
quiet,1,train,104108601239
quiet,1,train,104108601667
quiet,1,train,104108602176
quiet,1,train,104108603773
quiet,1,train,104108603862
quiet,1,train,104108607496
quiet,1,train,104108610169
quiet,1,train,104108611766
quiet,1,train,104108612795
quiet,1,train,104108615890
quiet,1,train,104108622201
quiet,1,train,104108622246
