dim,fold,split_type,n_overlap_hex
prefer,1,random_stratified,42
prefer,2,random_stratified,44
prefer,3,random_stratified,48
prefer,4,random_stratified,41
prefer,5,random_stratified,50
prefer,1,spatial_block,0
prefer,2,spatial_block,0
prefer,3,spatial_block,0
prefer,4,spatial_block,0
prefer,5,spatial_block,0
monotonous,1,random_stratified,55
monotonous,2,random_stratified,38
monotonous,3,random_stratified,42
monotonous,4,random_stratified,50
monotonous,5,random_stratified,49
monotonous,1,spatial_block,0
monotonous,2,spatial_block,0
monotonous,3,spatial_block,0
monotonous,4,spatial_block,0
monotonous,5,spatial_block,0
quiet,1,random_stratified,43
quiet,2,random_stratified,48
quiet,3,random_stratified,49
quiet,4,random_stratified,47
quiet,5,random_stratified,49
quiet,1,spatial_block,0
quiet,2,spatial_block,0
quiet,3,spatial_block,0
quiet,4,spatial_block,0
quiet,5,spatial_block,0
extensive,1,random_stratified,47
extensive,2,random_stratified,45
extensive,3,random_stratified,52
extensive,4,random_stratified,48
extensive,5,random_stratified,41
extensive,1,spatial_block,0
extensive,2,spatial_block,0
extensive,3,spatial_block,0
extensive,4,spatial_block,0
extensive,5,spatial_block,0
vivid,1,random_stratified,48
vivid,2,random_stratified,49
vivid,3,random_stratified,49
vivid,4,random_stratified,45
vivid,5,random_stratified,45
vivid,1,spatial_block,0
vivid,2,spatial_block,0
vivid,3,spatial_block,0
vivid,4,spatial_block,0
vivid,5,spatial_block,0
oppressive,1,random_stratified,46
oppressive,2,random_stratified,47
oppressive,3,random_stratified,48
oppressive,4,random_stratified,45
oppressive,5,random_stratified,44
oppressive,1,spatial_block,0
oppressive,2,spatial_block,0
oppressive,3,spatial_block,0
oppressive,4,spatial_block,0
oppressive,5,spatial_block,0
