,Prefer,Monotonous,Quiet,Extensive,Vivid,Oppressive,WV_Sky,WV_Highrisebuilding,WV_Lowrisebuilding,WV_Grass,WV_Hardground,WV_Tree,WV_Water,WV_Railing,WV_Road,WV_Barrenland,WV_Buildinginterior,LC_Water,LC_Trees,LC_Crops,LC_Built_Area,LC_Bare_Ground,LC_Rangeland,BD,FAR,BH,BH_SD,NDBI,NDVI
Prefer,1.0,-0.31970573440499495,-0.08620201902965846,0.8687618716360013,0.04502957889604821,-0.7193097421012532,0.7768810218961235,-0.5591925740143008,0.3620459296581271,-0.004351089996466014,-0.1282766329832454,0.011475472477873672,0.2740312440344071,-0.06018178307297095,0.3130956497519833,0.28797993557768303,-0.18806394708553031,0.08979297004071311,0.062379809223055666,0.06404230258111306,-0.08635947482496371,0.032494292473334546,0.03173252873675039,-0.07874305464018805,-0.10621562492664044,-0.11532180597351678,-0.10977489286219236,-0.06536316609714111,0.032459902602426004
Monotonous,-0.31970573440499495,1.0,-0.4662135120121203,-0.2354855306763121,-0.5319889645508287,0.47035538680536265,-0.09938854902881653,0.41185451156354136,-0.23923909509900418,-0.23872875132668792,-0.15993024898454644,-0.47779387407149737,-0.06866398269759692,-0.0056948880441732965,-0.0433973417928512,-0.0323567393178353,0.08997214976068556,-0.05917304068299022,-0.05754323462610886,-0.049994381562633486,0.05161222997599214,0.0023964283942384756,-0.006523912588963062,0.024275041259460915,0.06430255499277146,0.08549737557810277,0.07568033554112526,0.060548608582027444,-0.05671611486891639
Quiet,-0.08620201902965846,-0.4662135120121203,1.0,-0.14720952042101995,0.5819823598711859,-0.12781010508889612,-0.34254712439652774,-0.2076916160145268,-0.05715421833706001,0.26553005270985375,0.13351981115446016,0.5370872578325441,-0.039837829370512244,-0.08097234114239578,-0.24759591387455596,-0.1962513981798116,0.139283175255615,0.047664191223544476,0.0589746165022944,0.04905084401830314,-0.060689894913564094,-0.011450190566442474,0.04100465770064225,-0.04271001830849144,-0.0680301908752725,-0.08313339260312297,-0.055058544927598874,-0.07393552833640747,0.04891032791505721
Extensive,0.8687618716360013,-0.2354855306763121,-0.14720952042101995,1.0,-0.04866151406180643,-0.7277855350012207,0.7919257619319007,-0.5483394705081751,0.4169801309093792,-0.10170307393401892,-0.18591012430145226,-0.15459860458049648,0.32668508460589524,-0.0611043855521005,0.3825675944746689,0.33725048252518597,-0.102286496505695,0.10424919809537174,0.05718336281956288,0.04923528756182862,-0.08769668397622789,0.02954327450134758,0.0243839562422588,-0.0547489514813545,-0.08505502193559178,-0.10480677947406059,-0.10137346352912811,-0.05491523819438546,0.012917414276877889
Vivid,0.04502957889604821,-0.5319889645508287,0.5819823598711859,-0.04866151406180643,1.0,-0.17943855673113682,-0.11678860607061912,-0.2485914836535627,0.06024288455190743,0.3392558490610758,0.2541281248916932,0.5565105056337718,-0.0695578211879043,0.23668050746643776,-0.08933584837404258,-0.057014647754869294,-0.1306148188737928,0.04018397601783338,0.0655134747825342,0.07744301864025574,-0.07208400133950545,0.020661312986928387,0.07543843586508983,-0.1033568547359937,-0.1315174680745441,-0.11297732277905329,-0.056670841138424945,-0.09195687692637715,0.10027394130977263
Oppressive,-0.7193097421012532,0.47035538680536265,-0.12781010508889612,-0.7277855350012207,-0.17943855673113682,1.0,-0.5739916303392634,0.7152761069796434,-0.4328329286963507,-0.00035166932663938095,0.08532788219995276,-0.09065249792579146,-0.28409529754626756,-0.034377586321848015,-0.31343699086323984,-0.24886515085668165,0.06089188852821214,-0.10493080997673675,-0.05365973045395284,-0.04089196195300842,0.07536061949827594,-0.015286968712320074,-0.004922433575806601,0.027887668617793574,0.06245690322215252,0.09861826877559386,0.09966435289710361,0.0788260810689133,-0.04861785935508676
WV_Sky,0.7768810218961235,-0.09938854902881653,-0.34254712439652774,0.7919257619319007,-0.11678860607061912,-0.5739916303392634,1.0,-0.31364579368329576,0.39693678174201946,-0.06728821962050179,-0.08634705050791128,-0.11424948697026785,0.3127959598378374,0.13639322727680503,0.3904247880398389,0.3424467925393126,-0.4768068792571859,0.10207123571246399,0.041082854770933104,0.040556461254862876,-0.08725676152154865,0.03523790943751734,0.034211983771863,-0.059923170251994964,-0.08117288426060751,-0.09186123667148031,-0.09513862651532776,-0.07525250835873006,0.022007658453484506
WV_Highrisebuilding,-0.5591925740143008,0.41185451156354136,-0.2076916160145268,-0.5483394705081751,-0.2485914836535627,0.7152761069796434,-0.31364579368329576,1.0,-0.24660846186081697,0.0008715474951237029,0.20513886477719126,-0.11013323154469262,-0.19077369251252982,-0.01771884796856467,-0.1677865889732004,-0.19848547275476564,-0.27412692948562095,-0.1088978952614602,-0.08362288666231696,-0.09535990865631036,0.11590408951207029,-0.03334512806715596,-0.0697006046443733,0.10170921805176343,0.14722298364968034,0.1614281769338986,0.13302488556193628,0.10907961610848317,-0.08278994636530948
WV_Lowrisebuilding,0.3620459296581271,-0.23923909509900418,-0.05715421833706001,0.4169801309093792,0.06024288455190743,-0.4328329286963507,0.39693678174201946,-0.24660846186081697,1.0,-0.06721193816881801,0.10858962729761633,-0.055883681358023844,0.1326774022979735,0.046773190413103544,0.3680540668469847,0.2717309758868539,-0.22863177103853008,0.0014291689326986934,-0.031161090370884978,-0.046037003969021675,0.04300615477735872,0.010204390028351395,-0.07817709136291368,0.1235709650308447,0.06692183421952283,-0.011665025111214844,-0.0738909297630995,0.08323555551183526,-0.03592117277743796
WV_Grass,-0.004351089996466014,-0.23872875132668792,0.26553005270985375,-0.10170307393401892,0.3392558490610758,-0.00035166932663938095,-0.06728821962050179,0.0008715474951237029,-0.06721193816881801,1.0,0.3490297300923719,0.4417464042304685,0.05215245087206714,0.11889578206101464,0.014511064830505432,0.020671447361572552,-0.2314604409816167,0.10157344509709058,0.10196431916093238,0.1468970806982614,-0.15917620170330277,0.02260025290749773,0.14778149315102332,-0.19661457136663751,-0.22117861452037121,-0.19261757556932882,-0.11083525201270548,-0.09794707375309701,0.03997122862171116
WV_Hardground,-0.1282766329832454,-0.15993024898454644,0.13351981115446016,-0.18591012430145226,0.2541281248916932,0.08532788219995276,-0.08634705050791128,0.20513886477719126,0.10858962729761633,0.3490297300923719,1.0,0.3288478077565823,-0.09425109812451027,0.17125816979162722,0.05388140788940601,0.008104181779010372,-0.35561799536732935,-0.001018782876878071,0.007584857808422992,0.04418582038867624,-0.0019043159439323589,0.016606297439017825,-0.011259868504252365,-0.02903339175960148,-0.039773444343878105,-0.038476881697697085,-0.030021756424112384,0.02143291826575197,-0.01804693514376511
WV_Tree,0.011475472477873672,-0.47779387407149737,0.5370872578325441,-0.15459860458049648,0.5565105056337718,-0.09065249792579146,-0.11424948697026785,-0.11013323154469262,-0.055883681358023844,0.4417464042304685,0.3288478077565823,1.0,0.029818141686247693,0.12926511815223926,-0.10275280851240118,-0.11643152438373269,-0.3302568243496184,0.08243300601426973,0.11094224223853263,0.06464646926544286,-0.10593059399363326,0.0243688522934666,0.05509098301292587,-0.11227664194148773,-0.11055116218937784,-0.09234588524375603,-0.06646465941292523,-0.14895223371127622,0.09026174317204462
WV_Water,0.2740312440344071,-0.06866398269759692,-0.039837829370512244,0.32668508460589524,-0.0695578211879043,-0.28409529754626756,0.3127959598378374,-0.19077369251252982,0.1326774022979735,0.05215245087206714,-0.09425109812451027,0.029818141686247693,1.0,-0.017591344922255794,0.1915485850725385,0.2208412012084297,-0.1035745661533854,0.30436513248836294,0.07407766370187707,0.02423724204166401,-0.2665820731683782,0.06490630610125867,0.10107395300798941,-0.1248356886244606,-0.14277731329876586,-0.16125765727085528,-0.12507624031683515,-0.19820683659618027,-0.08590223035993082
WV_Railing,-0.06018178307297095,-0.0056948880441732965,-0.08097234114239578,-0.0611043855521005,0.23668050746643776,-0.034377586321848015,0.13639322727680503,-0.01771884796856467,0.046773190413103544,0.11889578206101464,0.17125816979162722,0.12926511815223926,-0.017591344922255794,1.0,0.08668669079552839,0.09136026963555875,-0.5729732844008427,0.02300997850749828,-0.03492931339075723,-0.008539551481261305,-0.010929846736050346,0.036711673730222355,0.038415623098020636,-0.015170085256444485,0.011501780135191065,0.050334634529202275,0.0848789010536302,-0.042957595747327035,0.04034588829453617
WV_Road,0.3130956497519833,-0.0433973417928512,-0.24759591387455596,0.3825675944746689,-0.08933584837404258,-0.31343699086323984,0.3904247880398389,-0.1677865889732004,0.3680540668469847,0.014511064830505432,0.05388140788940601,-0.10275280851240118,0.1915485850725385,0.08668669079552839,1.0,0.38187468684562115,-0.20304852994691755,0.0088723806792429,0.006545820389517186,-0.037524377087285815,-0.004179255772948934,0.006189550815996211,-0.008867503796614844,-0.013548389091370855,-0.008735868119416674,-0.00043374416468734423,0.002855953906249678,0.0524192230226522,-0.08422661868190208
WV_Barrenland,0.28797993557768303,-0.0323567393178353,-0.1962513981798116,0.33725048252518597,-0.057014647754869294,-0.24886515085668165,0.3424467925393126,-0.19848547275476564,0.2717309758868539,0.020671447361572552,0.008104181779010372,-0.11643152438373269,0.2208412012084297,0.09136026963555875,0.38187468684562115,1.0,-0.16204022336022053,0.0435981136756436,0.026175913588613955,0.05856618222347069,-0.07164902162188999,0.07697435191317394,0.056191814478524615,-0.04530186964247798,-0.09408202070116065,-0.11915582698338083,-0.1160547378536934,0.01587994030204444,-0.03361813264820053
WV_Buildinginterior,-0.18806394708553031,0.08997214976068556,0.139283175255615,-0.102286496505695,-0.1306148188737928,0.06089188852821214,-0.4768068792571859,-0.27412692948562095,-0.22863177103853008,-0.2314604409816167,-0.35561799536732935,-0.3302568243496184,-0.1035745661533854,-0.5729732844008427,-0.20304852994691755,-0.16204022336022053,1.0,-0.04025651347129207,0.009390039848216356,0.019755228746514635,0.02352036658096296,-0.030262848007907937,0.011242015584380472,9.96913686309698e-05,-0.015852241696653665,-0.02553077998504566,-0.010869401460721908,0.03428379541988463,0.01560519657676567
LC_Water,0.08979297004071311,-0.05917304068299022,0.047664191223544476,0.10424919809537174,0.04018397601783338,-0.10493080997673675,0.10207123571246399,-0.1088978952614602,0.0014291689326986934,0.10157344509709058,-0.001018782876878071,0.08243300601426973,0.30436513248836294,0.02300997850749828,0.0088723806792429,0.0435981136756436,-0.04025651347129207,1.0,0.2590997283518067,0.21314343287466309,-0.7944427707872861,0.07114345955587187,0.3129909980617388,-0.3986319044280854,-0.38075382463322854,-0.3980156934826101,-0.2533452616509025,-0.5722954366941817,-0.056718119065958694
LC_Trees,0.062379809223055666,-0.05754323462610886,0.0589746165022944,0.05718336281956288,0.0655134747825342,-0.05365973045395284,0.041082854770933104,-0.08362288666231696,-0.031161090370884978,0.10196431916093238,0.007584857808422992,0.11094224223853263,0.07407766370187707,-0.03492931339075723,0.006545820389517186,0.026175913588613955,0.009390039848216356,0.2590997283518067,1.0,0.3112616806811399,-0.45552845389862706,0.024637891393205127,0.3284688874313493,-0.3314524909603846,-0.3417509859705339,-0.3085935242908724,-0.2492307499558538,-0.3681647541141077,0.3217212388556474
